YBR150C YHR012W
YHR012W YJL154C
YJL154C YLL024C
YJL154C YAL005C
YJL154C YDL229W
YJL154C YOR204W
YJL154C YGR192C
YJL154C YOR069W
YJL154C YOR132W
YJL154C YJL053W
YLL024C YDR498C
YLL024C YHR027C
YLL024C YIL075C
YLL024C YAL028W
YLL024C YAR031W
YLL024C YBL099W
YLL024C YBR042C
YLL024C YBR068C
YLL024C YBR196C
YLL024C YBR230C
YLL024C YBR287W
YLL024C YBR290W
YLL024C YCL027W
YLL024C YCR011C
YLL024C YCR034W
YLL024C YCR043C
YLL024C YCR044C
YLL024C YCR075C
YLL024C YCR091W
YLL024C YDL091C
YLL024C YDL123W
YLL024C YDL126C
YLL024C YDL128W
YLL024C YDL192W
YLL024C YDL212W
YLL024C YDL223C
YLL024C YDL239C
YLL024C YDR011W
YLL024C YDR027C
YLL024C YDR055W
YLL024C YDR164C
YLL024C YDR166C
YLL024C YDR170C
YLL024C YDR189W
YLL024C YDR208W
YLL024C YDR233C
YLL024C YDR245W
YLL024C YDR284C
YLL024C YDR331W
YLL024C YDR352W
YLL024C YDR367W
YLL024C YDR406W
YLL024C YDR479C
YLL024C YDR484W
YLL024C YDR508C
YLL024C YDR519W
YLL024C YEL001C
YLL024C YEL036C
YLL024C YEL041W
YLL024C YEL077C
YLL024C YER031C
YLL024C YER053C
YLL024C YER093C
YLL024C YER129W
YLL024C YER145C
YLL024C YER154W
YLL024C YER158C
YLL024C YER182W
YLL024C YFL004W
YLL024C YFL041W
YLL024C YFL048C
YLL024C YFR006W
YLL024C YFR016C
YLL024C YGL012W
YLL024C YGL022W
YLL024C YGL027C
YLL024C YGL115W
YLL024C YGL126W
YLL024C YGL172W
YLL024C YGL195W
YLL024C YGL212W
YLL024C YGL225W
YLL024C YGL227W
YLL024C YGL233W
YLL024C YGR016W
YLL024C YGR038W
YLL024C YGR055W
YLL024C YGR106C
YLL024C YGR147C
YLL024C YGR174C
YLL024C YGR234W
YLL024C YGR235C
YLL024C YGR281W
YLL024C YGR284C
YLL024C YHR009C
YLL024C YHR039C
YLL024C YHR042W
YLL024C YHR063C
YLL024C YHR117W
YLL024C YHR120W
YLL024C YIL013C
YLL024C YIL014W
YLL024C YIL017C
YLL024C YIL047C
YLL024C YIL151C
YLL024C YIR033W
YLL024C YJL034W
YLL024C YJL070C
YLL024C YJL093C
YLL024C YJL178C
YLL024C YJL196C
YLL024C YJL198W
YLL024C YJL212C
YLL024C YJR059W
YLL024C YJR095W
YLL024C YKL077W
YLL024C YKL087C
YLL024C YKL129C
YLL024C YKL195W
YLL024C YKL209C
YLL024C YKR105C
YLL024C YLL006W
YLL024C YLL012W
YLL024C YLL015W
YLL024C YLL048C
YLL024C YLL058W
YLL024C YLR001C
YLL024C YLR004C
YLL024C YLR084C
YLL024C YLR093C
