Q0085 YCR106W
YCR106W YDR222W
YCR106W YEL072W
YCR106W YGL247W
YCR106W YGR081C
YCR106W YGR140W
YCR106W YJL006C
YCR106W YJL077W-B
YCR106W YMR060C
YCR106W YPL034W
YCR106W YPL243W
YCR106W YPL267W
YCR106W YPR046W
YJL006C YML112W
YPL267W YDR099W
YPR046W YJR135C
YDR099W YLR177W
YDR099W YKL168C
YAL016W YNL127W
YAL016W YIL065C
YIL065C YJL112W
YIL065C YDL100C
YIL065C YCL056C
YJL112W YAL021C
YJL112W YAL032C
YJL112W YGL115W
YJL112W YHL004W
YJL112W YIL152W
YJL112W YJL058C
YJL112W YJR003C
YJL112W YJR046W
YJL112W YKL189W
YJL112W YLR291C
YDL100C YAL055W
YDL100C YGL153W
YDL100C YDR304C
YDL100C YDR513W
YDL100C YER017C
YDL100C YER150W
YDL100C YGR028W
YDL100C YHR057C
YDL100C YHR128W
YDL100C YIL162W
YDL100C YKL154W
YDL100C YLR297W
YDL100C YML101C
YDL100C YNL149C
YDL100C YNR067C
YDL100C YOL018C
YDL100C YOL111C
YDL100C YOL126C
YDL100C YPR075C
YCL056C YDR142C
YCL056C YDL157C
YCL056C YJL185C
YCL056C YNL131W
YAL020C YBL071W-A
YAL021C YNR052C
YAL021C YMR124W
YAL021C YMR181C
YNR052C YDR374C
YNR052C YGR088W
YNR052C YNL288W
YMR124W YBR188C
YMR124W YIL109C
YMR124W YLR031W
YMR124W YER149C
YDR374C YLR423C
YGR088W YBR261C
YGR088W YLR291C
YNL288W YLR423C
YNL288W YBR080C
YNL288W YLR245C
YNL288W YBR233W
YNL288W YOR095C
YNL288W YHL018W
YNL288W YOR284W
YNL288W YCL028W
YAL032C YLR345W
YAL032C YNL229C
YAL032C YLR423C
YAL032C YDR416W
YAL032C YDR532C
YAL032C YDR448W
YAL032C YPL151C
YGL115W YDR477W
YGL115W YGL208W
YGL115W YLR291C
YGL115W YNL153C
YGL115W YPL149W
YHL004W YLR423C
YHL004W YDR416W
YHL004W YDR448W
YHL004W YOR284W
YHL004W YGR120C
YHL004W YBR057C
YHL004W YBR103W
YIL152W YLR423C
YIL152W YCR086W
YJL058C YNL229C
YJL058C YLR423C
YJL058C YDR448W
YJL058C YDR480W
YJL058C YDL057W
YJL058C YBR057C
YJL058C YER052C
YJL058C YIR025W
YJR003C YLR423C
YJR003C YDR448W
YJR003C YPL049C
YJR003C YDR480W
YJR003C YPR173C
YJR046W YDR520C
YJR046W YMR111C
YKL189W YLR423C
YKL189W YPL049C
YKL189W YDR480W
YKL189W YOR353C
